380,silly,8000 
381,koekelberg,21 609
382,sinaai,6229
383,st-denijs-boekel,900
384,sint-gillis,19000
385,sint-joris-weert,1916
386,sint-katelijne-waver,21391
387,sint martens bodegem - dilbeek,2638
388,sint-niklaas,80117
389,sint truiden,41483
390,sleidinge,7651
391,soignies,28000
392,spa,10000
393,ferrières,4900
394,tamines,8160
395,temse,30000
396,borsbeke,2445
397,zichem,22100
398,thieu,8000
399,thuin,14000
400,hensies (thulin),6500
401,laken,57000
402,kasterlee,18138
403,tielt,4572
404,tienen,32083 
405,tilff,5584
406,tilly,516
407,tollembeek - galmaarden,8848
408,tongeren,30692
409,torhout,20000
410,tournai,69440
411,trois-ponts,2500
412,tubize,26000
413,turnhout,44136
414,veltem,4752
415,boutersem,7519 
416,verviers,55207
417,viane-moerbeke - geraardsbergen,1914
418,vichte,4701
419,vielsalm,7505
420,ville-pommeroeul,
421,villers-la-ville,10000
422,virton,11000
423,vise,8000
424,viville (arlon),526
425,voroux-goreux,1138
426,vorst,56 616
427,waarschoot,7926
428,walcourt,18 000 
429,waregem,36593
430,waterloo,30000
431,weerde,2848
432,welkenraedt,10000
433,welle - denderleeuw,4750
434,wervik,18000
435,wespelaar,3709
436,wevelgem,31000
437,wezemaal,4534
438,wichelen,11000
439,wijgmaal,3802
440,willebroek,27456
441,wondelgem,12407
442,yvoir,8881
443,zandbergen - geraardsbergen,1773
444,zedelgem,22000
445,zeebrugge,4301
446,zele,21000
447,zellik ,11037 
448,zingem,7000
449,heusden - zolder,33000
450,zonhoven,21237 
451,zottegem,25073
452,zwijndrecht,44789
453,ecaussinnes,11000
